states,year,quarter,trans_type,trans_counts,amount
arunachal-pradesh,2021,1,Others,3074,3301662.609423133
arunachal-pradesh,2021,2,Peer-to-peer payments,762946,4000960152.0755486
arunachal-pradesh,2021,2,Recharge & bill payments,556680,165579844.2510589
arunachal-pradesh,2021,2,Merchant payments,243375,283709438.5363142
arunachal-pradesh,2021,2,Financial Services,1582,2761076.7934988844
arunachal-pradesh,2021,2,Others,3755,3415105.337960117
arunachal-pradesh,2021,3,Peer-to-peer payments,986088,5033603845.032885
arunachal-pradesh,2021,3,Recharge & bill payments,600102,187390578.3040377
arunachal-pradesh,2021,3,Merchant payments,314658,449869060.7842621
arunachal-pradesh,2021,3,Financial Services,1934,3348547.8272713376
arunachal-pradesh,2021,3,Others,4185,3912143.3503634185
arunachal-pradesh,2021,4,Peer-to-peer payments,1227616,6022733378.120082
arunachal-pradesh,2021,4,Recharge & bill payments,633248,207784816.33218512
arunachal-pradesh,2021,4,Merchant payments,521447,704195694.9939187
arunachal-pradesh,2021,4,Financial Services,2386,3933557.2795471298
arunachal-pradesh,2021,4,Others,5901,4862905.885615055
arunachal-pradesh,2022,1,Peer-to-peer payments,1403584,6670641250.459451
arunachal-pradesh,2022,1,Merchant payments,720803,917155358.717718
arunachal-pradesh,2022,1,Recharge & bill payments,670576,231933129.00412327
arunachal-pradesh,2022,1,Financial Services,3053,3359625.792926075
arunachal-pradesh,2022,1,Others,6052,5002264.113148138
arunachal-pradesh,2022,2,Peer-to-peer payments,1751568,7627061474.687716
arunachal-pradesh,2022,2,Merchant payments,1108353,1255513517.363942
arunachal-pradesh,2022,2,Recharge & bill payments,688770,241162643.1948015
arunachal-pradesh,2022,2,Financial Services,2466,4063469.0998270046
arunachal-pradesh,2022,2,Others,5768,3864269.879579009
arunachal-pradesh,2022,3,Peer-to-peer payments,1967086,7365427284.274203
arunachal-pradesh,2022,3,Merchant payments,1316326,1413247143.488991
arunachal-pradesh,2022,3,Recharge & bill payments,649322,238448083.8077975
arunachal-pradesh,2022,3,Financial Services,1997,4763324.776043448
arunachal-pradesh,2022,3,Others,4687,3224948.7015704075
arunachal-pradesh,2022,4,Peer-to-peer payments,2251135,7768088687.67791
